,price,date
77,3.59,2020-06-01
76,3.60,2020-06-02
75,3.68,2020-06-03
74,3.64,2020-06-04
73,3.61,2020-06-05
72,3.70,2020-06-08
71,3.76,2020-06-09
70,3.72,2020-06-10
69,3.65,2020-06-11
68,3.51,2020-06-12
67,3.53,2020-06-15
66,3.51,2020-06-16
65,3.51,2020-06-17
64,3.52,2020-06-18
63,3.56,2020-06-19
62,3.56,2020-06-22
61,3.56,2020-06-23
60,3.53,2020-06-24
59,3.51,2020-06-29
58,3.46,2020-06-30
57,3.48,2020-07-01
56,3.49,2020-07-02
55,3.59,2020-07-03
54,3.67,2020-07-06
53,3.88,2020-07-07
52,3.75,2020-07-08
51,3.81,2020-07-09
50,3.87,2020-07-10
49,3.80,2020-07-13
48,3.90,2020-07-14
47,3.88,2020-07-15
46,3.88,2020-07-16
45,3.77,2020-07-17
44,3.81,2020-07-20
43,3.81,2020-07-21
42,3.78,2020-07-22
41,3.79,2020-07-23
40,3.79,2020-07-24
39,3.64,2020-07-27
38,3.61,2020-07-28
37,3.59,2020-07-29
36,3.63,2020-07-30
35,3.60,2020-07-31
34,3.60,2020-08-03
33,3.65,2020-08-04
32,3.63,2020-08-05
31,3.66,2020-08-06
30,3.64,2020-08-07
29,3.61,2020-08-10
28,3.62,2020-08-11
27,3.59,2020-08-12
26,3.60,2020-08-13
25,3.60,2020-08-14
24,3.59,2020-08-17
23,3.64,2020-08-18
22,3.63,2020-08-19
21,3.68,2020-08-20
20,3.60,2020-08-21
19,3.60,2020-08-24
18,3.61,2020-08-25
17,3.59,2020-08-26
16,3.54,2020-08-27
15,3.49,2020-08-28
14,3.49,2020-08-31
13,3.48,2020-09-01
12,3.47,2020-09-02
11,3.48,2020-09-03
10,3.43,2020-09-04
9,3.44,2020-09-07
8,3.44,2020-09-08
7,3.43,2020-09-09
6,3.49,2020-09-10
5,3.38,2020-09-11
4,3.36,2020-09-14
3,3.36,2020-09-15
2,3.35,2020-09-16
1,3.37,2020-09-17
0,3.38,2020-09-18
