,price,date
77,9.15,2020-06-01
76,9.32,2020-06-02
75,9.39,2020-06-03
74,9.29,2020-06-04
73,9.15,2020-06-05
72,9.12,2020-06-08
71,9.18,2020-06-09
70,9.08,2020-06-10
69,9.06,2020-06-11
68,8.95,2020-06-12
67,8.95,2020-06-15
66,9.11,2020-06-16
65,9.14,2020-06-17
64,9.04,2020-06-18
63,8.98,2020-06-19
62,9.01,2020-06-22
61,8.86,2020-06-23
60,8.68,2020-06-24
59,8.68,2020-06-29
58,8.79,2020-06-30
57,8.79,2020-07-01
56,8.82,2020-07-02
55,9.02,2020-07-03
54,9.12,2020-07-06
53,9.66,2020-07-07
52,9.59,2020-07-08
51,9.64,2020-07-09
50,10.06,2020-07-10
49,10.20,2020-07-13
48,10.49,2020-07-14
47,10.66,2020-07-15
46,10.02,2020-07-16
45,9.80,2020-07-17
44,9.72,2020-07-20
43,10.14,2020-07-21
42,9.94,2020-07-22
41,10.00,2020-07-23
40,10.08,2020-07-24
39,9.62,2020-07-27
38,9.61,2020-07-28
37,9.78,2020-07-29
36,9.91,2020-07-30
35,9.72,2020-07-31
34,9.93,2020-08-03
33,10.16,2020-08-04
32,10.14,2020-08-05
31,10.15,2020-08-06
30,9.92,2020-08-07
29,9.75,2020-08-10
28,9.86,2020-08-11
27,9.71,2020-08-12
26,9.73,2020-08-13
25,9.98,2020-08-14
24,9.96,2020-08-17
23,10.21,2020-08-18
22,10.27,2020-08-19
21,10.01,2020-08-20
20,10.09,2020-08-21
19,9.98,2020-08-24
18,10.04,2020-08-25
17,9.95,2020-08-26
16,9.80,2020-08-27
15,9.77,2020-08-28
14,9.85,2020-08-31
13,9.80,2020-09-01
12,9.92,2020-09-02
11,9.82,2020-09-03
10,9.59,2020-09-04
9,9.59,2020-09-07
8,9.30,2020-09-08
7,9.20,2020-09-09
6,9.11,2020-09-10
5,8.85,2020-09-11
4,9.03,2020-09-14
3,9.06,2020-09-15
2,9.16,2020-09-16
1,9.13,2020-09-17
0,9.15,2020-09-18
