,price,date
77,12.68,2020-06-01
76,13.16,2020-06-02
75,14.00,2020-06-03
74,13.64,2020-06-04
73,13.26,2020-06-05
72,13.77,2020-06-08
71,14.14,2020-06-09
70,13.90,2020-06-10
69,13.75,2020-06-11
68,12.97,2020-06-12
67,13.24,2020-06-15
66,13.40,2020-06-16
65,13.70,2020-06-17
64,13.30,2020-06-18
63,13.47,2020-06-19
62,13.51,2020-06-22
61,13.47,2020-06-23
60,13.28,2020-06-24
59,13.10,2020-06-29
58,12.96,2020-06-30
57,13.21,2020-07-01
56,13.22,2020-07-02
55,13.70,2020-07-03
54,14.19,2020-07-06
53,14.79,2020-07-07
52,14.40,2020-07-08
51,14.79,2020-07-09
50,15.35,2020-07-10
49,14.98,2020-07-13
48,14.96,2020-07-14
47,15.02,2020-07-15
46,14.69,2020-07-16
45,14.09,2020-07-17
44,13.99,2020-07-20
43,14.33,2020-07-21
42,14.59,2020-07-22
41,14.87,2020-07-23
40,14.35,2020-07-24
39,13.94,2020-07-27
38,13.85,2020-07-28
37,13.80,2020-07-29
36,14.02,2020-07-30
35,13.76,2020-07-31
34,13.83,2020-08-03
33,13.95,2020-08-04
32,14.08,2020-08-05
31,14.18,2020-08-06
30,13.88,2020-08-07
29,13.37,2020-08-10
28,13.56,2020-08-11
27,13.56,2020-08-12
26,13.86,2020-08-13
25,13.68,2020-08-14
24,13.70,2020-08-17
23,13.92,2020-08-18
22,13.80,2020-08-19
21,13.49,2020-08-20
20,13.48,2020-08-21
19,13.60,2020-08-24
18,13.63,2020-08-25
17,13.63,2020-08-26
16,13.74,2020-08-27
15,13.53,2020-08-28
14,13.22,2020-08-31
13,13.16,2020-09-01
12,13.10,2020-09-02
11,12.88,2020-09-03
10,12.35,2020-09-04
9,12.54,2020-09-07
8,12.29,2020-09-08
7,12.13,2020-09-09
6,12.10,2020-09-10
5,11.63,2020-09-11
4,11.72,2020-09-14
3,11.90,2020-09-15
2,11.85,2020-09-16
1,12.23,2020-09-17
0,12.30,2020-09-18
