,price,date
76,5.12,2020-06-01
75,5.16,2020-06-02
74,5.14,2020-06-03
73,5.16,2020-06-04
72,5.23,2020-06-05
71,5.27,2020-06-08
70,5.20,2020-06-09
69,5.22,2020-06-10
68,5.21,2020-06-11
67,5.15,2020-06-12
66,5.27,2020-06-15
65,5.61,2020-06-16
64,5.89,2020-06-17
63,5.75,2020-06-18
62,5.81,2020-06-19
61,5.88,2020-06-22
60,5.84,2020-06-23
59,5.78,2020-06-24
58,5.85,2020-06-29
57,6.00,2020-07-01
56,5.82,2020-07-02
55,5.58,2020-07-03
54,5.62,2020-07-06
53,5.72,2020-07-07
52,6.45,2020-07-08
51,6.38,2020-07-09
50,6.83,2020-07-10
49,6.52,2020-07-13
48,6.65,2020-07-14
47,6.66,2020-07-15
46,7.00,2020-07-16
45,6.70,2020-07-17
44,6.58,2020-07-20
43,6.81,2020-07-21
42,6.65,2020-07-22
41,6.71,2020-07-23
40,6.73,2020-07-24
39,6.48,2020-07-27
38,6.74,2020-07-28
37,6.85,2020-07-29
36,7.01,2020-07-30
35,7.17,2020-07-31
34,7.21,2020-08-03
33,7.56,2020-08-04
32,7.88,2020-08-05
31,8.20,2020-08-06
30,8.34,2020-08-07
29,7.98,2020-08-10
28,7.91,2020-08-11
27,7.70,2020-08-12
26,7.77,2020-08-13
25,7.80,2020-08-14
24,7.81,2020-08-17
23,7.75,2020-08-18
22,7.77,2020-08-19
21,7.63,2020-08-20
20,7.85,2020-08-21
19,7.69,2020-08-24
18,7.70,2020-08-25
17,7.57,2020-08-26
16,7.23,2020-08-27
15,7.43,2020-08-28
14,7.55,2020-08-31
13,7.43,2020-09-01
12,7.29,2020-09-02
11,7.21,2020-09-03
10,7.09,2020-09-04
9,7.19,2020-09-07
8,6.90,2020-09-08
7,7.07,2020-09-09
6,7.06,2020-09-10
5,6.68,2020-09-11
4,7.02,2020-09-14
3,6.70,2020-09-15
2,7.15,2020-09-16
1,7.79,2020-09-17
0,7.90,2020-09-18
