,price,date
77,7.43,2020-06-01
76,7.56,2020-06-02
75,7.65,2020-06-03
74,7.68,2020-06-04
73,7.73,2020-06-05
72,7.74,2020-06-08
71,7.68,2020-06-09
70,7.65,2020-06-10
69,7.58,2020-06-11
68,7.28,2020-06-12
67,7.16,2020-06-15
66,7.30,2020-06-16
65,7.28,2020-06-17
64,7.48,2020-06-18
63,7.36,2020-06-19
62,7.35,2020-06-22
61,7.52,2020-06-23
60,7.81,2020-06-24
59,7.85,2020-06-29
58,7.65,2020-06-30
57,7.69,2020-07-01
56,7.59,2020-07-02
55,7.69,2020-07-03
54,7.82,2020-07-06
53,8.05,2020-07-07
52,7.94,2020-07-08
51,8.08,2020-07-09
50,8.19,2020-07-10
49,8.22,2020-07-13
48,9.68,2020-07-14
47,8.82,2020-07-15
46,8.32,2020-07-16
45,8.01,2020-07-17
44,8.08,2020-07-20
43,8.16,2020-07-21
42,8.13,2020-07-22
41,8.10,2020-07-23
40,8.09,2020-07-24
39,7.81,2020-07-27
38,7.87,2020-07-28
37,7.83,2020-07-29
36,8.03,2020-07-30
35,8.06,2020-07-31
34,8.15,2020-08-03
33,8.28,2020-08-04
32,8.15,2020-08-05
31,8.14,2020-08-06
30,8.12,2020-08-07
29,7.97,2020-08-10
28,8.01,2020-08-11
27,7.88,2020-08-12
26,7.86,2020-08-13
25,7.92,2020-08-14
24,7.96,2020-08-17
23,8.12,2020-08-18
22,8.10,2020-08-19
21,7.99,2020-08-20
20,7.93,2020-08-21
19,7.97,2020-08-24
18,7.99,2020-08-25
17,7.94,2020-08-26
16,7.83,2020-08-27
15,7.89,2020-08-28
14,8.09,2020-08-31
13,8.07,2020-09-01
12,8.12,2020-09-02
11,8.05,2020-09-03
10,7.73,2020-09-04
9,7.83,2020-09-07
8,7.75,2020-09-08
7,7.86,2020-09-09
6,7.75,2020-09-10
5,7.40,2020-09-11
4,7.47,2020-09-14
3,7.50,2020-09-15
2,7.46,2020-09-16
1,7.49,2020-09-17
0,7.50,2020-09-18
