,price,date
77,4.44,2020-06-01
76,4.52,2020-06-02
75,4.97,2020-06-03
74,4.73,2020-06-04
73,4.79,2020-06-05
72,5.00,2020-06-08
71,4.85,2020-06-09
70,4.93,2020-06-10
69,4.79,2020-06-11
68,4.62,2020-06-12
67,4.69,2020-06-15
66,4.65,2020-06-16
65,4.70,2020-06-17
64,4.76,2020-06-18
63,4.84,2020-06-19
62,4.80,2020-06-22
61,4.74,2020-06-23
60,4.72,2020-06-24
59,4.68,2020-06-29
58,4.63,2020-06-30
57,4.62,2020-07-01
56,4.66,2020-07-02
55,4.79,2020-07-03
54,4.90,2020-07-06
53,5.06,2020-07-07
52,4.99,2020-07-08
51,5.15,2020-07-09
50,5.19,2020-07-10
49,5.08,2020-07-13
48,5.27,2020-07-14
47,5.30,2020-07-15
46,5.16,2020-07-16
45,4.91,2020-07-17
44,4.87,2020-07-20
43,5.09,2020-07-21
42,5.13,2020-07-22
41,5.13,2020-07-23
40,5.19,2020-07-24
39,5.03,2020-07-27
38,4.95,2020-07-28
37,4.95,2020-07-29
36,5.03,2020-07-30
35,5.01,2020-07-31
34,5.05,2020-08-03
33,5.21,2020-08-04
32,5.17,2020-08-05
31,5.29,2020-08-06
30,5.29,2020-08-07
29,5.29,2020-08-10
28,5.37,2020-08-11
27,5.16,2020-08-12
26,5.23,2020-08-13
25,5.25,2020-08-14
24,5.15,2020-08-17
23,5.34,2020-08-18
22,5.38,2020-08-19
21,5.38,2020-08-20
20,5.27,2020-08-21
19,5.24,2020-08-24
18,5.18,2020-08-25
17,5.17,2020-08-26
16,5.10,2020-08-27
15,5.09,2020-08-28
14,5.15,2020-08-31
13,5.15,2020-09-01
12,5.14,2020-09-02
11,5.14,2020-09-03
10,5.03,2020-09-04
9,5.08,2020-09-07
8,5.00,2020-09-08
7,5.02,2020-09-09
6,5.04,2020-09-10
5,4.81,2020-09-11
4,4.82,2020-09-14
3,4.80,2020-09-15
2,4.79,2020-09-16
1,4.83,2020-09-17
0,4.78,2020-09-18
