,price,date
77,11.61,2020-06-01
76,11.69,2020-06-02
75,11.70,2020-06-03
74,11.97,2020-06-04
73,11.87,2020-06-05
72,12.46,2020-06-08
71,12.37,2020-06-09
70,12.70,2020-06-10
69,12.74,2020-06-11
68,12.19,2020-06-12
67,12.03,2020-06-15
66,12.02,2020-06-16
65,11.90,2020-06-17
64,11.82,2020-06-18
63,12.04,2020-06-19
62,12.00,2020-06-22
61,11.81,2020-06-23
60,11.89,2020-06-24
59,11.84,2020-06-29
58,12.18,2020-06-30
57,12.31,2020-07-01
56,12.40,2020-07-02
55,12.67,2020-07-03
54,13.70,2020-07-06
53,13.96,2020-07-07
52,14.51,2020-07-08
51,15.10,2020-07-09
50,15.26,2020-07-10
49,15.95,2020-07-13
48,16.20,2020-07-14
47,14.95,2020-07-15
46,15.45,2020-07-16
45,15.43,2020-07-17
44,16.15,2020-07-20
43,17.05,2020-07-21
42,16.80,2020-07-22
41,16.99,2020-07-23
40,17.01,2020-07-24
39,16.51,2020-07-27
38,16.46,2020-07-28
37,16.22,2020-07-29
36,16.17,2020-07-30
35,16.20,2020-07-31
34,17.07,2020-08-03
33,17.15,2020-08-04
32,17.98,2020-08-05
31,19.03,2020-08-06
30,18.54,2020-08-07
29,19.15,2020-08-10
28,19.25,2020-08-11
27,18.80,2020-08-12
26,18.76,2020-08-13
25,19.29,2020-08-14
24,19.20,2020-08-17
23,20.10,2020-08-18
22,20.09,2020-08-19
21,20.76,2020-08-20
20,20.60,2020-08-21
19,20.69,2020-08-24
18,20.69,2020-08-25
17,20.37,2020-08-26
16,19.71,2020-08-27
15,19.70,2020-08-28
14,20.05,2020-08-31
13,19.70,2020-09-01
12,20.06,2020-09-02
11,19.95,2020-09-03
10,19.17,2020-09-04
9,19.15,2020-09-07
8,18.57,2020-09-08
7,18.30,2020-09-09
6,18.17,2020-09-10
5,18.13,2020-09-11
4,18.36,2020-09-14
3,18.31,2020-09-15
2,18.96,2020-09-16
1,18.84,2020-09-17
0,18.70,2020-09-18
